Checkpoint 1: 480; Time: 86.92306327819824 s
Checkpoint 2: 960; Time: 169.92609667778015 s
Checkpoint 3: 1440; Time: 252.8885133266449 s
Checkpoint 4: 1920; Time: 338.7085151672363 s
Checkpoint 5: 2400; Time: 427.1031057834625 s
Checkpoint 6: 2880; Time: 513.428605556488 s
Checkpoint 7: 3360; Time: 596.4253771305084 s
Checkpoint 8: 3840; Time: 679.5790464878082 s
Checkpoint 9: 4320; Time: 762.3586130142212 s
Checkpoint 10: 4800; Time: 845.7566776275635 s
Checkpoint 11: 5280; Time: 928.9677941799164 s
Checkpoint 12: 5760; Time: 1011.9844410419464 s
Checkpoint 13: 6240; Time: 1095.203775882721 s
Checkpoint 14: 6720; Time: 1178.1666028499603 s
Checkpoint 15: 7200; Time: 1261.5646994113922 s
Checkpoint 16: 7680; Time: 1344.6789932250977 s
Checkpoint 17: 8160; Time: 1427.5140385627747 s
Checkpoint 18: 8640; Time: 1510.6529853343964 s
Checkpoint 19: 9120; Time: 1593.6835339069366 s
Checkpoint 20: 9600; Time: 1676.6966671943665 s
Checkpoint 21: 10080; Time: 1759.9811735153198 s
Checkpoint 22: 10560; Time: 1843.2414128780365 s
Checkpoint 23: 11040; Time: 1926.0779881477356 s
Checkpoint 24: 11520; Time: 2009.4626107215881 s
Checkpoint 25: 12000; Time: 2092.6043021678925 s
Checkpoint 26: 12480; Time: 2176.124509572983 s
Checkpoint 27: 12960; Time: 2259.4711923599243 s
Checkpoint 28: 13440; Time: 2342.417691230774 s
Checkpoint 29: 13920; Time: 2425.4284913539886 s
Checkpoint 30: 14400; Time: 2508.657770872116 s
Checkpoint 31: 14880; Time: 2591.8305616378784 s
Checkpoint 32: 15360; Time: 2675.178092479706 s
Checkpoint 33: 15840; Time: 2758.5706009864807 s
Checkpoint 34: 16320; Time: 2845.138159275055 s
Checkpoint 35: 16800; Time: 2928.197601556778 s
Checkpoint 36: 17280; Time: 3011.6272728443146 s
Checkpoint 37: 17760; Time: 3094.4806745052338 s
Checkpoint 38: 18240; Time: 3177.4810338020325 s
Checkpoint 39: 18720; Time: 3260.863869190216 s
Checkpoint 40: 19200; Time: 3343.5808413028717 s
Checkpoint 41: 19680; Time: 3426.6409006118774 s
Checkpoint 42: 20160; Time: 3509.6373252868652 s
Checkpoint 43: 20640; Time: 3592.1690368652344 s
Checkpoint 44: 21120; Time: 3675.022161960602 s
Checkpoint 45: 21600; Time: 3757.75181889534 s
Checkpoint 46: 22080; Time: 3840.7058634757996 s
Checkpoint 47: 22560; Time: 3924.0558474063873 s
Checkpoint 48: 23040; Time: 4007.271633863449 s
Checkpoint 49: 23520; Time: 4090.035756111145 s
Checkpoint 50: 24000; Time: 4173.046330690384 s
Checkpoint 51: 24480; Time: 4255.643877029419 s
Checkpoint 52: 24960; Time: 4338.199345111847 s
Checkpoint 53: 25440; Time: 4421.194295883179 s
Checkpoint 54: 25920; Time: 4503.765292167664 s
Checkpoint 55: 26400; Time: 4586.717363834381 s
Checkpoint 56: 26880; Time: 4669.649419784546 s
Checkpoint 57: 27360; Time: 4752.525631427765 s
Checkpoint 58: 27840; Time: 4835.442551136017 s
Checkpoint 59: 28320; Time: 4919.013469457626 s
Checkpoint 60: 28800; Time: 5001.944991350174 s
Checkpoint 61: 29280; Time: 5085.053436517715 s
Checkpoint 62: 29760; Time: 5168.354958295822 s
Checkpoint 63: 30240; Time: 5251.118576526642 s
Checkpoint 64: 30720; Time: 5334.599307060242 s
Checkpoint 65: 31200; Time: 5417.81227684021 s
Checkpoint 66: 31680; Time: 5500.696191549301 s
Checkpoint 67: 32160; Time: 5583.834869384766 s
Checkpoint 68: 32640; Time: 5667.435615301132 s
Checkpoint 69: 33120; Time: 5750.404247760773 s
Checkpoint 70: 33600; Time: 5833.926253080368 s
Checkpoint 71: 34080; Time: 5916.881217718124 s
Checkpoint 72: 34560; Time: 6000.004454374313 s
Checkpoint 73: 35040; Time: 6083.448668956757 s
Checkpoint 74: 35520; Time: 6166.588332891464 s
Checkpoint 75: 36000; Time: 6249.754048109055 s
Checkpoint 76: 36480; Time: 6333.113765716553 s
Checkpoint 77: 36960; Time: 6416.280147790909 s
Checkpoint 78: 37440; Time: 6499.524864912033 s
Checkpoint 79: 37920; Time: 6582.789907455444 s
Checkpoint 80: 38400; Time: 6665.9682450294495 s
Checkpoint 81: 38880; Time: 6749.236512422562 s
Checkpoint 82: 39360; Time: 6832.54340004921 s
Checkpoint 83: 39840; Time: 6915.7341368198395 s
Checkpoint 84: 40320; Time: 6998.73991060257 s
Checkpoint 85: 40800; Time: 7082.2407143116 s
Checkpoint 86: 41280; Time: 7165.426443338394 s
Checkpoint 87: 41760; Time: 7248.388866901398 s
Checkpoint 88: 42240; Time: 7331.644336700439 s
Checkpoint 89: 42720; Time: 7414.617679595947 s
Checkpoint 90: 43200; Time: 7497.950067520142 s
Checkpoint 91: 43680; Time: 7581.730516672134 s
Checkpoint 92: 44160; Time: 7664.778986215591 s
Checkpoint 93: 44640; Time: 7748.280117273331 s
Checkpoint 94: 45120; Time: 7831.762566328049 s
Checkpoint 95: 45600; Time: 7914.791476726532 s
Checkpoint 96: 46080; Time: 7998.23761677742 s
Checkpoint 97: 46560; Time: 8081.383905887604 s
Checkpoint 98: 47040; Time: 8164.591637134552 s
Checkpoint 99: 47520; Time: 8248.168738365173 s
Checkpoint 100: 48000; Time: 8331.253638505936 s
